ID,Movie,Watch Date,Year,Type 1,Type 2,Animation,Origin Country,Friend Who chose it,Did Friend 5 sleep,Duration (minutes),Friend 2 score,Friend 5 score,Friend 7 score,Friend 8 score,Mean score,IMDB score,IMDB-Mean
1,Elite Squad,09/09/2021,2007,Action,Crime,0,Brazil,3,1,115,8,9,9,9,"8,75",8,"-0,75"
2,The Forever Purge,16/09/2021,2021,Action,Horror,0,USA,1,0,104,2,2,2,2,"2,00","5,4","3,40"
3,Forrest Gump,23/09/2021,1994,Drama,Romance,0,USA,2,0,142,10,9,9,10,"9,50","8,8","-0,70"
4,The Orphanage,30/09/2021,2007,Horror,Thriller,0,Spain,5,0,105,8,8,7,7,"7,50","7,4","-0,10"
5,Rubber,07/10/2021,2010,Horror,Comedy,0,France,6,0,85,4,4,4,10,"5,50","5,7","0,20"
6,I Saw the Devil,14/10/2021,2010,Thriller,Action,0,South Korea,7,0,142,8,4,10,10,"8,00","7,8","-0,20"
7,His House,22/10/2021,2020,Horror,Thriller,0,USA,8,0,93,6,6,6,6,"6,00","6,5","0,50"
8,Kickboxer,28/10/2021,1989,Action,Martial Arts,0,USA,3,0,105,4,3,6,8,"5,25","6,4","1,15"
9,The Room,04/11/2021,2003,Drama,Romance,0,USA,2,0,91,0,0,10,10,"5,00","3,6","-1,40"
10,From Up on Poppy Hill,03/12/2021,2011,Family,Romance,1,Japan,5,0,91,7,7,7,7,"7,00","7,4","0,40"
11,Mother!,16/12/2021,2017,Horror,Thriller,0,USA,8,0,121,9,8,8,10,"8,75","6,6","-2,15"
12,Soul,14/01/2021,2020,Family,Adventure,1,USA,7,0,100,10,8,10,8,"9,00",8,"-1,00"
13,Don't Look Up,21/01/2022,2021,Comedy,Disaster,0,USA,2,0,145,10,7,10,10,"9,25","7,2","-2,05"
14,Coco,27/01/2022,2017,Family,Adventure,1,USA,5,0,105,8,8,8,8,"8,00","8,4","0,40"
15,The Matrix: Resurrections,29/01/2022,2021,Sci-Fi,Action,0,USA,2,0,148,8,8,7,7,"7,50","5,7","-1,80"
16,Enemy,04/02/2022,2013,Thriller,Mystery,0,Canada,7,0,95,7,7,7,7,"7,00","6,9","-0,10"
17,House of Gucci,11/02/2022,2021,Drama,Crime,0,USA,8,0,157,6,7,3,3,"4,75","6,6","1,85"
18,Se7en,18/02/2022,1995,Crime,Mystery,0,USA,5,0,127,8,8,8,8,"8,00","8,6","0,60"
19,The Shawshank Redemption,25/02/2022,1994,Drama,Police Fiction,0,USA,2,0,142,9,10,10,10,"9,75","9,3","-0,45"
20,Spider-Man: No Way Home,17/03/2022,2021,Action,Adventure,0,USA,8,1,148,8,7,6,10,"7,75","8,3","0,55"
21,The Boy Who Harnessed the Wind,19/03/2022,2019,Drama,Drama,0,United Kingdom,5,0,113,10,9,8,10,"9,25","7,6","-1,65"
22,Shang-Chi and the Legend of the Ten Rings,02/04/2022,2021,Action,Fantasy,0,USA,8,1,132,8,6,6,10,"7,50","7,4","-0,10"
23,American Psycho,09/04/2022,2000,Horror,Thriller,0,USA,2,0,102,8,5,10,10,"8,25","7,6","-0,65"
24,Daddy Day Care,17/04/2022,2003,Comedy,Family,0,USA,5,0,92,7,8,7,8,"7,50","5,6","-1,90"
25,Memento,23/04/2022,2000,Mystery,Thriller,0,USA,2,0,114,10,8,10,10,"9,50","8,4","-1,10"
26,The Lighthouse,29/04/2022,2019,Horror,Drama,0,USA,7,0,109,6,6,6,7,"6,25","7,4","1,15"
27,Oldboy,07/05/2022,2003,Mystery,Action,0,South Korea,8,0,132,10,6,10,10,"9,00","8,4","-0,60"
28,Gone Girl,14/05/2022,2014,Thriller,Mystery,0,USA,5,0,149,8,8,8,9,"8,25","8,1","-0,15"
29,Taxi Driver,21/05/2022,1975,Drama,Drama,0,USA,2,1,114,6,6,7,7,"6,50","8,2","1,70"
30,Requiem for a Dream,28/05/2022,2000,Drama,Suspense,0,USA,7,1,102,10,8,10,10,"9,50","8,3","-1,20"
