tool_id,name,n_args,is_query
1,dummy,0,TRUE
2,get_n_cols,0,TRUE
3,get_cols_names,0,TRUE
4,has_nulls,1,TRUE
5,get_unique_counts,1,TRUE
6,get_column_type,1,TRUE
7,get_col_unique,1,TRUE
8,replace_substring,3,FALSE
9,drop_column,1,FALSE
10,map_col_values,2,FALSE
11,copy_column,2,FALSE
12,convert_column_to_datetime,1,FALSE
13,convert_column_to_float,1,FALSE
14,convert_column_to_int,1,FALSE
15,fill_col_na,2,FALSE
16,rename_column,3,FALSE
17,subtract_value,2,FALSE
18,sum_value,2,FALSE
19,divide_value,2,FALSE
20,multiply_value,2,FALSE
21,power_value,2,FALSE
22,subtract_cols,3,FALSE
23,sum_cols,3,FALSE
24,divide_cols,3,FALSE
25,multiply_cols,3,FALSE
26,power_cols,3,FALSE
